Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
ABPBY06010,Acanthis flammea,Common Redpoll,,S4 (2015),Yellow,G5 (2016),,,,,,
ABPBY06020,Acanthis hornemanni,Hoary Redpoll,,SUN (2015),Unknown,G5 (2016),,,,,,
ABNKC12040,Accipiter cooperii,Cooper's Hawk,,S5 (2015),Yellow,G5 (2016),NAR,,,,,
ABNKC12060,Accipiter gentilis,Northern Goshawk,,"S4B,S4N (2015)",No Status,G5 (2016),,,,,,
ABNKC12061,Accipiter gentilis atricapillus,"Northern Goshawk, atricapillus subspecies",BWBS; ESSF; ICH; IDF; MS; PP; SBPS; SBS; SWB,S3S4 (2017),Blue,G5T5 (2016),NAR,,,,,
ABNKC12062,Accipiter gentilis laingi,"Northern Goshawk, laingi subspecies",CDF; CWH,S2 (2010),Red,G5T2 (2016),T,1-T (2003),Y,,Y,
ABNKC12020,Accipiter striatus,Sharp-shinned Hawk,,"S5B,S5N (2015)",Yellow,G5 (2016),NAR,,,,,
ABNNF04020,Actitis macularius,Spotted Sandpiper,,S5B (2015),Yellow,G5 (2016),,,,,,
ABNCA04020,Aechmophorus clarkii,Clark's Grebe,,S1B (2015),Red,G5 (2016),,,,,,
ABNCA04010,Aechmophorus occidentalis,Western Grebe,BG; BWBS; CDF; CWH; ICH; IDF; MS; PP; SBPS; SBS,"S1B,S2N (2015)",Red,G5 (2016),SC,1-SC (2017),,,Y,Y
ABNSB15020,Aegolius acadicus,Northern Saw-whet Owl,,"S5B,S5N (2009)",Yellow,G5 (2016),,,,,,
ABNSB15022,Aegolius acadicus brooksi,"Northern Saw-whet Owl, brooksi subspecies",CMA; CWH; MH,S2S3 (2017),Blue,G5T2T3 (2018),T,1-T (2007),Y,,Y,
ABNSB15010,Aegolius funereus,Boreal Owl,,S4 (2015),Yellow,G5 (2016),NAR,,,,,
ABNUA06010,Aeronautes saxatalis,White-throated Swift,BAFA; BG; CMA; CWH; ESSF; ICH; IDF; IMA; MH; MS; PP; SBPS; SBS,S3S4B (2015),Blue,G5 (2016),,,,,Y,Y
ABNNN10030,Aethia cristatella,Crested Auklet,,SNA (2015),Accidental,G5 (1996),,,,,,
ABNNN09010,Aethia psittacula,Parakeet Auklet,,SU (2015),Unknown,G5 (1997),,,,,,
ABPBXB0010,Agelaius phoeniceus,Red-winged Blackbird,,"S5B,S5N (2015)",Yellow,G5 (2016),,,,,,
ABNJB09010,Aix sponsa,Wood Duck,,"S4B,S4N (2015)",Yellow,G5 (2016),,,,,,
ABPAT01010,Alauda arvensis,Eurasian Skylark,,SNA (2015),Exotic,G5 (2016),,,,,,
ABNLC03010,Alectoris chukar,Chukar,,SNA (2015),Exotic,G5 (2016),,,,,,
ABNNN01010,Alle alle,Dovekie,,SNA (2013),Accidental,G5 (2016),,,,,,
ABPBXA0020,Ammodramus savannarum,Grasshopper Sparrow,BG; CDF; IDF; PP,S1B (2018),Red,G5 (2016),,,Y,,Y,Y
ABPBXA0040,Ammospiza leconteii,LeConte's Sparrow,,S4B (2015),Yellow,G5 (2016),,,,,,
